
Japanese,Hiragana,Burmese,Tags
"小さな","小[ちい]さな","သေးငယ်သော","Minna_no_Nihongo_2::Lesson_38"
"赤ちゃん","赤[あか]ちゃん","ကလေးမွေးကင်းစ","Minna_no_Nihongo_2::Lesson_38"
"小学校","小[しょう]学[がっ]校[こう]","မူလတန်းကျောင်း","Minna_no_Nihongo_2::Lesson_38"
"中学校","中[ちゅう]学[がっ]校[こう]","အလယ်တန်းကျောင်း","Minna_no_Nihongo_2::Lesson_38"
"駅前","駅[えき]前[まえ]","ဘူတာရုံရှေ့","Minna_no_Nihongo_2::Lesson_38"
"海岸","海[かい]岸[がん]","ပင်လယ်ကမ်းရိုးတန်း","Minna_no_Nihongo_2::Lesson_38"
"うそ","うそ","မုသားစကား။ လိမ်လည်ပြောဆိုခြင်း","Minna_no_Nihongo_2::Lesson_38"
"書類","書[しょ]類[るい]","စာရွတ်စာတန်း","Minna_no_Nihongo_2::Lesson_38"
"電源","電[でん]源[げん]","မီးခလုတ်","Minna_no_Nihongo_2::Lesson_38"
"~製","~製[せい]","--နိုင်ငံလုပ်","Minna_no_Nihongo_2::Lesson_38"
"日本製","日[に]本[ほん]製[せい]","ဂျပန်နိုင်ငံလုပ်","Minna_no_Nihongo_2::Lesson_38"
"あ、いけない","あ、いけない","ဟာ မဖြစ်တော့ဘူး","Minna_no_Nihongo_2::Lesson_38"
"お先に失礼します","お先[さき]に失[しつ]礼[れい]します","အရင်ပြန်နှင့်ပါပြီ","Minna_no_Nihongo_2::Lesson_38"
"回覧","回[かい]覧[らん]","အသိပေးစာစောင်။ (ဝန်ထမ်းများအားလုံးအား အသိပေးသော အကြောင်းအရာများကို ရေးထားသော စာရွက်ဖြစ်ပြီး ကြည့်ပြီးသော သူကမိမိ၏တံဆိပ်တုံးကို နှိပ်ရသော စာရွက် (သို့)စာဆောင်","Minna_no_Nihongo_2::Lesson_38"
"研究室","研[けん]究[きゅう]室[しつ]","သုတေသနအခန်း။ တက္ကသိုလ်မှ ဆရာ၏အခန်း","Minna_no_Nihongo_2::Lesson_38"
"きちんと","きちんと","သေချာစွာ။ ကျကျနန။","Minna_no_Nihongo_2::Lesson_38"
"整理します","整[せい]理[り]します","သေသေသပ်သပ်၊ အစီအစဉ်တကျထားရှိသည်","Minna_no_Nihongo_2::Lesson_38"
"~という本","~という本[ほん]","--လို့ခေါ်တဲ့စာအုပ်","Minna_no_Nihongo_2::Lesson_38"
"~冊","~冊[さつ]","--အုပ်","Minna_no_Nihongo_2::Lesson_38"
"はんこ","はんこ","တံဆိပ်တုံး","Minna_no_Nihongo_2::Lesson_38"
"押します","押[お]します","တံဆိပ်တုံးနှိပ်သည်","Minna_no_Nihongo_2::Lesson_38"
"答えます","答[こた]えます","ဖြေသည်","Minna_no_Nihongo_2::Lesson_39"
"倒れます","倒[たお]れます","လဲကျသည်။ ပြိုကျသည်","Minna_no_Nihongo_2::Lesson_39"
"焼けます","焼[や]けます","လောင်ကျွမ်းသည်","Minna_no_Nihongo_2::Lesson_39"
"通ります","通[とお]ります","ဖြတ်သန်းသွားသည်","Minna_no_Nihongo_2::Lesson_39"
"死にます","死[し]にます","သေသည်","Minna_no_Nihongo_2::Lesson_39"
"びっくりします","びっくりします","ထိတ်လန့်သည်။ အလန်တကြားဖြစ်သည်","Minna_no_Nihongo_2::Lesson_39"
"がっかりします","がっかりします","စိတ်ပျက်သည်","Minna_no_Nihongo_2::Lesson_39"
"安心します","安[あん]心[しん]します","စိတ်အေးသည်","Minna_no_Nihongo_2::Lesson_39"
"遅刻します","遅[ち]刻[こく]します","နောက်ကျသည်","Minna_no_Nihongo_2::Lesson_39"
"早退します","早[そう]退[たい]します","အရင်စော၍ပြန်သည်","Minna_no_Nihongo_2::Lesson_39"
"ケンカします","ケンカします","ရန်ဖြစ်သည်","Minna_no_Nihongo_2::Lesson_39"
"離婚します","離[り]婚[こん]します","လင်မယားကွဲသည်","Minna_no_Nihongo_2::Lesson_39"
"複雑","複[ふく]雑[ざつ]","ရှုပ်ထွေးသော","Minna_no_Nihongo_2::Lesson_39"
"邪魔","邪[じゃ]魔[ま]","အနှောက်အယှက်ဖြစ်သော","Minna_no_Nihongo_2::Lesson_39"
"汚い","汚[きたな]い","ညစ်ပတ်သော","Minna_no_Nihongo_2::Lesson_39"
"うれしい","うれしい","ဝမ်းသာသော","Minna_no_Nihongo_2::Lesson_39"
"悲しい","悲[かな]しい","ဝမ်းနည်းသော","Minna_no_Nihongo_2::Lesson_39"
"恥ずかしい","恥[は]ずかしい","ရှက်သော","Minna_no_Nihongo_2::Lesson_39"
"地震","地[じ]震[しん]","ငလျင်","Minna_no_Nihongo_2::Lesson_39"
"台風","台[たい]風[ふう]","မုန်တိုင်း","Minna_no_Nihongo_2::Lesson_39"
"火事","火[か]事[じ]","မီးဘေး","Minna_no_Nihongo_2::Lesson_39"
"事故","事[じ]故[こ]","ယာဉ်တိုက်မှု","Minna_no_Nihongo_2::Lesson_39"
"お見合い","お見[み]合[あ]い","အိမ်ထောင်ပြုရန် ရည်ရွယ်ချက်ဖြင့် နှစ်ဘက်တွေ့ဆုံခြင်း","Minna_no_Nihongo_2::Lesson_39"
"電話代","電[でん]話[わ]代[だい]","တယ်လီဖုန်းခေါ်ဆိုခ","Minna_no_Nihongo_2::Lesson_39"
"~代","~代[だい]","-အဖိုးအခ","Minna_no_Nihongo_2::Lesson_39"
"フロント","フロント","ဟိုတယ်ဧည့်ကြိုကောင်တာ","Minna_no_Nihongo_2::Lesson_39"
"~号室","~号[ごう]室[しつ]","--အခန်း","Minna_no_Nihongo_2::Lesson_39"
"汗","汗[あせ]","ချွေး","Minna_no_Nihongo_2::Lesson_39"
"タオル","タオル","တာဝါ၊ မျက်နှာသုပ်ပဝါ","Minna_no_Nihongo_2::Lesson_39"
"せっけん","せっけん","ဆပ်ပြာ","Minna_no_Nihongo_2::Lesson_39"
"大勢","大[おお]勢[ぜい]","လူအများကြီး","Minna_no_Nihongo_2::Lesson_39"
"お疲れさまでした","お疲[つか]れさまでした","ပင်ပန်းသွားပြီနော်","Minna_no_Nihongo_2::Lesson_39"
"伺います","伺[うかが]います","မေးသည်၊ နားထောင်သည် (ယဉ်ကျေးသောအသုံး)","Minna_no_Nihongo_2::Lesson_39"
"途中で","途[と]中[ちゅう]で","လာနေတုန်းလမ်းမှာ","Minna_no_Nihongo_2::Lesson_39"
"トラック","トラック","ကုန်တင်ကား","Minna_no_Nihongo_2::Lesson_39"
"ぶつかります","ぶつかります","တိုက်သည်","Minna_no_Nihongo_2::Lesson_39"
"並びます","並[なら]びます","တန်းစီသည်","Minna_no_Nihongo_2::Lesson_39"
"数えます","数[かぞ]えます","ရေတွက်သည်","Minna_no_Nihongo_2::Lesson_40"
"測ります","測[はか]ります","တိုင်းတာသည်","Minna_no_Nihongo_2::Lesson_40"
"確かめます","確[たし]かめます","သေချာစွာစစ်ဆေးသည်","Minna_no_Nihongo_2::Lesson_40"
"合います","合[あ]います","ကိုက်ညီသည်","Minna_no_Nihongo_2::Lesson_40"
"出発します","出[しゅっ]発[ぱつ]します","ထွက်ခွာသည်","Minna_no_Nihongo_2::Lesson_40"
"到着します","到[とう]着[ちゃく]します","ဆိုက်ရောက်သည်","Minna_no_Nihongo_2::Lesson_40"
"酔います","酔[よ]います","မူးဝေသည်","Minna_no_Nihongo_2::Lesson_40"
"危険","危[き]険[けん]","အန္တရာယ်ရှိသော","Minna_no_Nihongo_2::Lesson_40"
"必要","必[ひつ]要[よう]","လိုအပ်သော","Minna_no_Nihongo_2::Lesson_40"
"宇宙","宇[う]宙[ちゅう]","အာကာသ","Minna_no_Nihongo_2::Lesson_40"
"地球","地[ち]球[きゅう]","ကမ္ဘာမြေ","Minna_no_Nihongo_2::Lesson_40"
"忘年会","忘[ぼう]年[ねん]会[かい]","နှစ်ဟောင်းနှုတ်ဆက်ပွဲ","Minna_no_Nihongo_2::Lesson_40"
"新年会","新[しん]年[ねん]会[かい]","နှစ်သစ်ပျော်ရွှင်ပွဲ","Minna_no_Nihongo_2::Lesson_40"
"二次会","二[に]次[じ]会[かい]","ပါတီပွဲရဲ့ နောက်ဆက်တွဲပျော်ရွှင်ပွဲ","Minna_no_Nihongo_2::Lesson_40"
"大会","大[たい]会[かい]","ပွဲတော် (အားကစားပွဲတော်)","Minna_no_Nihongo_2::Lesson_40"
"マラソン","マラソン","မာရသွန်ပြိုင်ပွဲ","Minna_no_Nihongo_2::Lesson_40"
"コンテスト","コンテスト","ပြိုင်ပွဲ","Minna_no_Nihongo_2::Lesson_40"
"表","表[おもて]","အပြင်ဘက်၊ အတည့်ဘက်၊ မျက်နှာစာဘက်","Minna_no_Nihongo_2::Lesson_40"
"裏","裏[うら]","အတွင်းဘက်၊ ကျောဘက်၊ နောက်ဘက်","Minna_no_Nihongo_2::Lesson_40"
"返事","返[へん]事[じ]","အကြောင်းပြန်ခြင်း","Minna_no_Nihongo_2::Lesson_40"
"申し込み","申[もう]し込[こ]み","လျှောက်ထားခြင်း","Minna_no_Nihongo_2::Lesson_40"
"本当","本[ほん]当[とう]","တကယ်၊ အမှန်","Minna_no_Nihongo_2::Lesson_40"
"間違い","間[ま]違[ちが]い","မှားသော","Minna_no_Nihongo_2::Lesson_40"
"傷","傷[きず]","အနာ","Minna_no_Nihongo_2::Lesson_40"
"ズボン","ズボン","ဘောင်းဘီ","Minna_no_Nihongo_2::Lesson_40"
"長さ","長[なが]さ","အရှည်","Minna_no_Nihongo_2::Lesson_40"
"重さ","重[おも]さ","အလေးချိန်","Minna_no_Nihongo_2::Lesson_40"
"高さ","高[たか]さ","အမြင့်","Minna_no_Nihongo_2::Lesson_40"
"大きさ","大[おお]きさ","အရွယ်အစား (အကြီး)","Minna_no_Nihongo_2::Lesson_40"
"便","便[びん]","-လေယာဉ်-နံပါတ်","Minna_no_Nihongo_2::Lesson_40"
"~号","~号[ごう]","-နံပါတ်","Minna_no_Nihongo_2::Lesson_40"
"~個","~個[こ]","-ခု","Minna_no_Nihongo_2::Lesson_40"
"~本","~本[ほん]","-ချောင်း","Minna_no_Nihongo_2::Lesson_40"
"~杯","~杯[はい]","-ခွက်","Minna_no_Nihongo_2::Lesson_40"
"キログラム","キログラム","ကီလိုဂရမ်","Minna_no_Nihongo_2::Lesson_40"
"センチ","センチ","စင်တီမီတာ","Minna_no_Nihongo_2::Lesson_40"
"ミリ","ミリ","မီလီမီတာ","Minna_no_Nihongo_2::Lesson_40"
"~以上","~以[い]上[じょう]","အထက်","Minna_no_Nihongo_2::Lesson_40"
"~以下","~以[い]下[か]","အောက်","Minna_no_Nihongo_2::Lesson_40"
"さあ","さあ","ဟင်း--","Minna_no_Nihongo_2::Lesson_40"
"どうでしょうか","どうでしょうか","ဘယ်လိုရှိပါသလဲ","Minna_no_Nihongo_2::Lesson_40"
"クラス","クラス","အတန်း","Minna_no_Nihongo_2::Lesson_40"
"テスト","テスト","စာမေးပွဲ","Minna_no_Nihongo_2::Lesson_40"
"成績","成[せい]績[せき]","အမှတ်၊ ရမှတ်","Minna_no_Nihongo_2::Lesson_40"
"ところで","ところで","စကားမဆက်","Minna_no_Nihongo_2::Lesson_40"
"いらっしゃいます","いらっしゃいます","ရှိသည်။ လာသည်","Minna_no_Nihongo_2::Lesson_40"
"様子","様[よう]子[す]","အခြေအနေ","Minna_no_Nihongo_2::Lesson_40"
"いただきます","いただきます","လက်ခံသည်။ ယူသည်။","Minna_no_Nihongo_2::Lesson_41"
"くださいます","くださいます","သူများ(ကိုယ်ထက်ကြီးမြတ်သူ)က ကိုယ့်ကိုပေးသည်။","Minna_no_Nihongo_2::Lesson_41"
"やります","やります","ကိုယ်က သူများ (ကိုယ်ထက်ငယ်ရွယ်သူ/ နိမ့်ကျသူ) ကိုပေးသည်။","Minna_no_Nihongo_2::Lesson_41"
"呼びます","呼[よ]びます","ခေါ်သည်","Minna_no_Nihongo_2::Lesson_41"
"取り替えます","取[と]り替[か]えます","လဲလှယ်သည်","Minna_no_Nihongo_2::Lesson_41"
"親切にします","親[しん]切[せつ]にします","ကြင်နာယုယသည်","Minna_no_Nihongo_2::Lesson_41"
"かわいい","かわいい","ချစ်စရာကောင်းသော","Minna_no_Nihongo_2::Lesson_41"
"お祝い","お祝[いわ]い","ဂုဏ်ပြုခြင်း","Minna_no_Nihongo_2::Lesson_41"
"お年玉","お年[とし]玉[だま]","နှစ်သစ်ကူးလက်ဆောင်","Minna_no_Nihongo_2::Lesson_41"
"お見舞い","お見[み]舞[ま]い","လူနာမေးသွားခြင်း","Minna_no_Nihongo_2::Lesson_41"
"興味","興[きょう]味[み]","စိတ်ပါဝင်စားခြင်း","Minna_no_Nihongo_2::Lesson_41"
"情報","情[じょう]報[ほう]","သတင်းအချက်အလက်","Minna_no_Nihongo_2::Lesson_41"
"文法","文[ぶん]法[ぽう]","သဒ္ဒါ","Minna_no_Nihongo_2::Lesson_41"
"発音","発[はつ]音[おん]","အသံထွက်","Minna_no_Nihongo_2::Lesson_41"
"猿","猿[さる]","မျောက်","Minna_no_Nihongo_2::Lesson_41"
"エサ","エサ","တိရိစ္ဆန် အစာ","Minna_no_Nihongo_2::Lesson_41"
"おもちゃ","おもちゃ","အရုပ်","Minna_no_Nihongo_2::Lesson_41"
"絵本","絵[え]本[ほん]","အရုပ်များပါသောစာအုပ်","Minna_no_Nihongo_2::Lesson_41"
"絵葉書","絵[え]葉[は]書[がき]","ပုံဆွဲထားသော ပို့ကဒ်","Minna_no_Nihongo_2::Lesson_41"
"ドライバー","ドライバー","ဝက်အူလှည့်","Minna_no_Nihongo_2::Lesson_41"
"ハンカチ","ハンカチ","လက်ကိုင်ပုဝါ","Minna_no_Nihongo_2::Lesson_41"
"靴下","靴[くつ]下[した]","ခြေအိပ်","Minna_no_Nihongo_2::Lesson_41"
"手袋","手[て]袋[ぶくろ]","လက်အိတ်","Minna_no_Nihongo_2::Lesson_41"
"指輪","指[ゆび]輪[わ]","လက်စွပ်","Minna_no_Nihongo_2::Lesson_41"
"バック","バック","အိတ်","Minna_no_Nihongo_2::Lesson_41"
"祖父","祖[そ]父[ふ]","အဖိုး","Minna_no_Nihongo_2::Lesson_41"
"祖母","祖[そ]母[ぼ]","အဖွား","Minna_no_Nihongo_2::Lesson_41"
"孫","孫[まご]","မြေး","Minna_no_Nihongo_2::Lesson_41"
"おじ","おじ","ဦးလေး","Minna_no_Nihongo_2::Lesson_41"
"おじさん","おじさん","ဦးလေး","Minna_no_Nihongo_2::Lesson_41"
"叔母","叔[お]母[ば]","ဒေါ်လေး","Minna_no_Nihongo_2::Lesson_41"
"おばさん","おばさん","ဒေါ်လေး","Minna_no_Nihongo_2::Lesson_41"
"おととし","おととし","တနှစ်က","Minna_no_Nihongo_2::Lesson_41"
"はあ","はあ","ဩော်--","Minna_no_Nihongo_2::Lesson_41"
"申し訳ありません","申[もう]し訳[わけ]ありません","တောင်းပန်ပါတယ်","Minna_no_Nihongo_2::Lesson_41"
"預かります","預[あず]かります","ယူထားပေးပါမယ်။ လက်ခံထားပေးပါမယ်","Minna_no_Nihongo_2::Lesson_41"
"先日","先[せん]日[じつ]","အရင်ရက်တုန်းက","Minna_no_Nihongo_2::Lesson_41"
"助かります","助[たす]かります","အကူအညီရသည်။","Minna_no_Nihongo_2::Lesson_41"
"包みます","包[つつ]みます","ထုတ်ပိုးသည်","Minna_no_Nihongo_2::Lesson_42"
"沸かします","沸[わ]かします","ရေနွေးဆူပွက်သည်","Minna_no_Nihongo_2::Lesson_42"
"混ぜます","混[ま]ぜます","ရောနှောသည်","Minna_no_Nihongo_2::Lesson_42"
"計算します","計[けい]算[さん]します","တွက်ချက်သည်","Minna_no_Nihongo_2::Lesson_42"
"厚い","厚[あつ]い","ထူသော","Minna_no_Nihongo_2::Lesson_42"
"薄い","薄[うす]い","ပါးလွှာသော","Minna_no_Nihongo_2::Lesson_42"
"弁護士","弁[べん]護[ご]士[し]","ရှေ့နေ","Minna_no_Nihongo_2::Lesson_42"
"音楽家","音[おん]楽[がく]家[か]","ဂီတပညာရှင်","Minna_no_Nihongo_2::Lesson_42"
"子供たち","子[こ]供[ども]たち","ကလေးတွေ","Minna_no_Nihongo_2::Lesson_42"
"二人","二[ふた]人[り]","နှစ်ယောက်","Minna_no_Nihongo_2::Lesson_42"
"教育","教[きょう]育[いく]","ပညာရေး","Minna_no_Nihongo_2::Lesson_42"
"歴史","歴[れき]史[し]","သမိုင်း","Minna_no_Nihongo_2::Lesson_42"
"文化","文[ぶん]化[か]","ယဉ်ကျေးမှု","Minna_no_Nihongo_2::Lesson_42"
"社会","社[しゃ]会[かい]","လူ့ဘဝပတ်ဝန်းကျင်","Minna_no_Nihongo_2::Lesson_42"
"法律","法[ほう]律[りつ]","ဥပဒေ","Minna_no_Nihongo_2::Lesson_42"
"戦争","戦[せん]争[そう]","စစ်ပွဲ","Minna_no_Nihongo_2::Lesson_42"
"平和","平[へい]和[わ]","ငြိမ်းချမ်းရေး","Minna_no_Nihongo_2::Lesson_42"
"目的","目[もく]的[てき]","ရည်ရွယ်ချက်","Minna_no_Nihongo_2::Lesson_42"
"安全","安[あん]全[ぜん]","စိတ်ချလုံခြုံသော","Minna_no_Nihongo_2::Lesson_42"
"論文","論[ろん]文[ぶん]","စာတန်းပြုစုခြင်း","Minna_no_Nihongo_2::Lesson_42"
"関係","関[かん]係[けい]","ပတ်သက်မှု","Minna_no_Nihongo_2::Lesson_42"
"ミキサー","ミキサー","မွှေစက်","Minna_no_Nihongo_2::Lesson_42"
"やかん","やかん","ရေနွေးခရား","Minna_no_Nihongo_2::Lesson_42"
"栓抜き","栓[せん]抜[ぬ]き","ပုလင်းအဖုံးဖွင့်တံ","Minna_no_Nihongo_2::Lesson_42"
"缶切り","缶[かん]切[き]り","သံဗူးဖေါက်တံ","Minna_no_Nihongo_2::Lesson_42"
"缶詰","缶[かん]詰[づめ]","စည်သွတ်ဗူး","Minna_no_Nihongo_2::Lesson_42"
"風呂敷","風[ふ]呂[ろ]敷[しき]","ထမင်းဗူးကို ထုပ်ပိုးသော ပိတ်စ","Minna_no_Nihongo_2::Lesson_42"
"そろばん","そろばん","ဂျပန်ပေသီး (ဂဏန်းသင်္ချာတွက်ရာတွင် သုံးသည်)","Minna_no_Nihongo_2::Lesson_42"
"体温計","体[たい]温[おん]計[けい]","ကိုယ်အပူချိန်တိုင်း ကိရိယာ","Minna_no_Nihongo_2::Lesson_42"
"材料","材[ざい]料[りょう]","ကုန်ကြမ်းပစ္စည်း","Minna_no_Nihongo_2::Lesson_42"
"石","石[いし]","ကျောက်","Minna_no_Nihongo_2::Lesson_42"
"ピラミッド","ピラミッド","ပီရမစ်","Minna_no_Nihongo_2::Lesson_42"
"データ","データ","အချက်အလက်များ","Minna_no_Nihongo_2::Lesson_42"
"ファイル","ファイル","ဖိုင်","Minna_no_Nihongo_2::Lesson_42"
"ある","ある","ရှိသည်","Minna_no_Nihongo_2::Lesson_42"
"一生懸命","一[いっ]生[しょう]懸[けん]命[めい]","ကြိုးစားပမ်းစား","Minna_no_Nihongo_2::Lesson_42"
"増えます","増[ふ]えます","ပွားများသည်","Minna_no_Nihongo_2::Lesson_43"
"減ります","減[へ]ります","လျော့ကျသည်။ နဲလာသည်","Minna_no_Nihongo_2::Lesson_43"
"上がります","上[あ]がります","တက်သည်","Minna_no_Nihongo_2::Lesson_43"
"下がります","下[さ]がります","ကျသည်","Minna_no_Nihongo_2::Lesson_43"
"切れます","切[き]れます","ပြတ်သွားသည် (ကြိုးပြတ်သည်)","Minna_no_Nihongo_2::Lesson_43"
"とれます","とれます","ပြုတ်ထွက်သည်။ (ကြယ်သီးပြုတ်သွားသည်)","Minna_no_Nihongo_2::Lesson_43"
"落ちます","落[お]ちます","ကျသည်။ ပြုတ်ကျသည်။","Minna_no_Nihongo_2::Lesson_43"
"なくなります","なくなります","ကုန်သွားသည်။ (ဓါတ်ဆီကုန်သွားသည်)","Minna_no_Nihongo_2::Lesson_43"
"丈夫","丈[じょう]夫[ぶ]","သန်မာသော","Minna_no_Nihongo_2::Lesson_43"
"変","変[へん]","တစ်မျိုးဖြစ်သော။ ပုံမှန်မဟုတ်သော","Minna_no_Nihongo_2::Lesson_43"
"幸せ","幸[しあわ]せ","ပျော်ရွှင်သော။ ပျော်ရွှင်မှု","Minna_no_Nihongo_2::Lesson_43"
"うまい","うまい","အရသာရှိသော။ တော်သော","Minna_no_Nihongo_2::Lesson_43"
"まずい","まずい","အရသာမရှိသော","Minna_no_Nihongo_2::Lesson_43"
"つまらない","つまらない","ပျင်းရိဖွယ်ကောင်းသော","Minna_no_Nihongo_2::Lesson_43"
"ガソリン","ガソリン","ဓါတ်ဆီ","Minna_no_Nihongo_2::Lesson_43"
"火","火[ひ]","မီး (fire)","Minna_no_Nihongo_2::Lesson_43"
"暖房","暖[だん]房[ぼう]","အခန်းတွင်းလေပူပေးစက် heater","Minna_no_Nihongo_2::Lesson_43"
"冷房","冷[れい]房[ぼう]","လေအေးပေးစက်။ အဲယားကွန်း","Minna_no_Nihongo_2::Lesson_43"
"センス","センス","ဝတ်ပုံစားပုံ။ စိတ်ကူးစိတ်သန်း","Minna_no_Nihongo_2::Lesson_43"
"今にも","今[いま]にも","အခုချက်ချင်းပင်","Minna_no_Nihongo_2::Lesson_43"
"わあ~","わあ~","အို-","Minna_no_Nihongo_2::Lesson_43"
"会員","会[かい]員[いん]","အသင်းဝင်","Minna_no_Nihongo_2::Lesson_43"
"適当","適[てき]当[とう]","သင့်တော်သလို","Minna_no_Nihongo_2::Lesson_43"
"年齢","年[ねん]齢[れい]","အသက်အရွယ်","Minna_no_Nihongo_2::Lesson_43"
"収入","収[しゅう]入[にゅう]","ဝင်ငွေ","Minna_no_Nihongo_2::Lesson_43"
"ぴったり","ぴったり","တထပ်တည်း","Minna_no_Nihongo_2::Lesson_43"
"その上","その上[うえ]","အဲဒါအပြင်","Minna_no_Nihongo_2::Lesson_43"
"~といいます","~といいます","-လို့ခေါ်တယ်","Minna_no_Nihongo_2::Lesson_43"
"泣きます","泣[な]きます","ငိုတယ်","Minna_no_Nihongo_2::Lesson_44"
"笑います","笑[わら]います","ရယ်တယ်","Minna_no_Nihongo_2::Lesson_44"
"乾きます","乾[かわ]きます","ခြောက်သွေ့ တယ်","Minna_no_Nihongo_2::Lesson_44"
"濡れます","濡[ぬ]れます","ရွှဲစိုတယ်","Minna_no_Nihongo_2::Lesson_44"
"滑ります","滑[すべ]ります","ချော်လဲတယ်","Minna_no_Nihongo_2::Lesson_44"
"起きます","起[お]きます","ဖြစ်ပေါ်တယ်။ (ယာဉ်တိုက်မှုဖြစ်တယ်)","Minna_no_Nihongo_2::Lesson_44"
"調節します","調[ちょう]節[せつ]します","ထိန်းညှိတယ်","Minna_no_Nihongo_2::Lesson_44"
"安全","安[あん]全[ぜん]","စိတ်ချရတယ်","Minna_no_Nihongo_2::Lesson_44"
"丁寧","丁[てい]寧[ねい]","သေသပ်သော၊ ညင်သာသော၊ ယဉ်ကျေးသော","Minna_no_Nihongo_2::Lesson_44"
"細かい","細[こま]かい","အသေးစိတ်သော","Minna_no_Nihongo_2::Lesson_44"
"濃い","濃[こ]い","အရသာလေးသော","Minna_no_Nihongo_2::Lesson_44"
"薄い","薄[うす]い","အရသာပေါ့သော","Minna_no_Nihongo_2::Lesson_44"
"空気","空[くう]気[き]","လေထု","Minna_no_Nihongo_2::Lesson_44"
"涙","涙[なみだ]","မျက်ရည်","Minna_no_Nihongo_2::Lesson_44"
"和食","和[わ]食[しょく]","ဂျပန်အစားအစာ","Minna_no_Nihongo_2::Lesson_44"
"洋食","洋[よう]食[しょく]","အနောက်တိုင်းအစားအစာ","Minna_no_Nihongo_2::Lesson_44"
"おかず","おかず","ဟင်း","Minna_no_Nihongo_2::Lesson_44"
"量","量[りょう]","ပမာဏ","Minna_no_Nihongo_2::Lesson_44"
"倍","倍[ばい]","၂ဆ","Minna_no_Nihongo_2::Lesson_44"
"半分","半[はん]分[ぶん]","တစ်ဝက်","Minna_no_Nihongo_2::Lesson_44"
"シングル","シングル","တစ်ယောက်ခန်း","Minna_no_Nihongo_2::Lesson_44"
"ツイン","ツイン","နှစ်ယောက်ခန်း","Minna_no_Nihongo_2::Lesson_44"
"タンス","タンス","အဝတ်ဗီရို","Minna_no_Nihongo_2::Lesson_44"
"洗濯物","洗[せん]濯[たく]物[もの]","လျှော်ရမည့်အဝတ်","Minna_no_Nihongo_2::Lesson_44"
"理由","理[り]由[ゆう]","အကြောင်းအရာ","Minna_no_Nihongo_2::Lesson_44"
"どうなさいますか","どうなさいますか","ဘယ်လိုလုပ်ချင်ပါသလဲ","Minna_no_Nihongo_2::Lesson_44"
"カット","カット","ဆံပင်ညှပ်တယ်","Minna_no_Nihongo_2::Lesson_44"
"シャンプー","シャンプー","ခေါင်းလျှော်တယ်","Minna_no_Nihongo_2::Lesson_44"
"どういうふうになさいますか","どういうふうになさいますか","ဘယ်လိုမျိုးလုပ်ချင်ပါသလဲ","Minna_no_Nihongo_2::Lesson_44"
"ショート","ショート","အတိုညှပ်","Minna_no_Nihongo_2::Lesson_44"
"~みたいにしてください","~みたいにしてください","--လိုမျိုးလုပ်ချင်တယ်","Minna_no_Nihongo_2::Lesson_44"
"これでよろしいでしょうか","これでよろしいでしょうか","ဒီလိုဆို ရပြီလား","Minna_no_Nihongo_2::Lesson_44"
"どうもお疲れさまでした","どうもお疲[つか]れさまでした","ကျေးဇူးတင်ပါတယ်၊ ပင်ပန်းသွားပြီနော်","Minna_no_Nihongo_2::Lesson_44"
"謝ります","謝[あやま]ります","တောင်းပန်သည်","Minna_no_Nihongo_2::Lesson_45"
"あいます","あいます","တွေ့ကြုံသည် (မတော်တဆမှု)","Minna_no_Nihongo_2::Lesson_45"
"信じます","信[しん]じます","ယုံကြည်သည်","Minna_no_Nihongo_2::Lesson_45"
"用意します","用[よう]意[い]します","ပြင်ဆင်သည်","Minna_no_Nihongo_2::Lesson_45"
"キャンセルします","キャンセルします","ဖျက်သိမ်းသည်","Minna_no_Nihongo_2::Lesson_45"
"うまくいきます","うまくいきます","အဆင်ပြေသည်","Minna_no_Nihongo_2::Lesson_45"
"保証書","保[ほ]証[しょう]書[しょ]","ပစ္စည်း၏အာမခံကဒ်ပြား","Minna_no_Nihongo_2::Lesson_45"
"領収書","領[りょう]収[しゅう]書[しょ]","ဘောင်ချာ","Minna_no_Nihongo_2::Lesson_45"
"贈り物","贈[おく]り物[もの]","လက်ဆောင်ပို့သောပစ္စည်း","Minna_no_Nihongo_2::Lesson_45"
"間違い電話","間[ま]違[ちが]い電[でん]話[わ]","ဖုန်းမှားခြင်း","Minna_no_Nihongo_2::Lesson_45"
"キャンプ","キャンプ","camp သွားခြင်း","Minna_no_Nihongo_2::Lesson_45"
"係り","係[かか]り","တာဝန်ရှိသူ","Minna_no_Nihongo_2::Lesson_45"
"中止","中[ちゅう]止[し]","မပြီးဆုံးခြင်း ရပ်နားခြင်း","Minna_no_Nihongo_2::Lesson_45"
"点","点[てん]","အမှတ်","Minna_no_Nihongo_2::Lesson_45"
"レバー","レバー","မောင်းတံ","Minna_no_Nihongo_2::Lesson_45"
"~円札","~円[えん]札[さつ]","--ယန်းတန် (ပိုက်ဆံရွက်)","Minna_no_Nihongo_2::Lesson_45"
"ちゃんと","ちゃんと","သေချာစွာ","Minna_no_Nihongo_2::Lesson_45"
"急に","急[きゅう]に","ရုတ်တရက်","Minna_no_Nihongo_2::Lesson_45"
"楽しみにしています","楽[たの]しみにしています","ပျော်ရွှင်စွာနဲ့ စောင့်နေပါမယ်","Minna_no_Nihongo_2::Lesson_45"
"以上です","以[い]上[じょう]です","ဒါပါဘဲ","Minna_no_Nihongo_2::Lesson_45"
